Gene	ensembl_id
ABCA2	ENSG00000107331
ANAPC2	ENSG00000176248
ARVCF	ENSG00000099889
C8G	ENSG00000176919
C9orf139	ENSG00000180539
C9orf141	ENSG00000198454
C9orf142	ENSG00000148362
CLIC3	ENSG00000169583
COMT	ENSG00000093010
DGCR6L	ENSG00000128185
DGCR8	ENSG00000128191
GGTLC3	ENSG00000274252
LCNL1	ENSG00000214402
NRG1	ENSG00000157168
PTGDS	ENSG00000107317
RANBP1	ENSG00000099901
SEPT5	ENSG00000184702
TPRN	ENSG00000176058
TRMT2A	ENSG00000099899
TXNRD2	ENSG00000184470
ADRA2A	ENSG00000150594
BBIP1	ENSG00000214413
PDCD4	ENSG00000150593
SHOC2	ENSG00000108061
SLC6A3	ENSG00000142319
TBC1D15	ENSG00000121749
TPH2	ENSG00000139287
CRP	ENSG00000132693
CDKN1B	ENSG00000111276
AC006547.14	NA
TIMP4	ENSG00000157150
ZDHHC8	ENSG00000099904
IZUMO2	ENSG00000161652
KLK1	ENSG00000167748
MYH14	ENSG00000105357
SIGLEC11	ENSG00000161640
KCNS3	ENSG00000170745
CCDC93	ENSG00000125633
INSIG2	ENSG00000125629
NEK9	ENSG00000119638
TGFB3	ENSG00000119699
TTLL5	ENSG00000119685
KL	ENSG00000133116
DISC1	ENSG00000162946
FOXJ1	ENSG00000129654
RNF157	ENSG00000141576
PACRG	ENSG00000112530
PARK2	ENSG00000185345
SP110	ENSG00000135899
SERGEF	ENSG00000129158
TPH1	ENSG00000129167
CNPY1	ENSG00000146910
EN2	ENSG00000164778
MYO9B	ENSG00000099331
USE1	ENSG00000053501
DNMT3A	ENSG00000119772
EFR3B	ENSG00000084710
POMC	ENSG00000115138
C21orf2	ENSG00000160226
C21orf90	ENSG00000182912
CUX2	ENSG00000111249
FAM109A	ENSG00000198324
KRTAP10-7	ENSG00000272804
PWP2	ENSG00000241945
TRPM2	ENSG00000142185
EXOC6B	ENSG00000144036
SPR	ENSG00000116096
B3GNTL1	ENSG00000175711
FN3K	ENSG00000167363
FN3KRP	ENSG00000141560
NPTX1	ENSG00000171246
RNF213	ENSG00000173821
RPTOR	ENSG00000141564
TBCD	ENSG00000141556
ZNF750	ENSG00000141579
DAOA	ENSG00000182346
IFNGR1	ENSG00000027697
IL22RA2	ENSG00000164485
ACSL6	ENSG00000164398
C5orf56	ENSG00000197536
GDF9	ENSG00000164404
IL13	ENSG00000169194
IL3	ENSG00000164399
IL4	ENSG00000113520
