Original	UI	MSH
alzheimer disease	D000544	Alzheimer Disease
attention deficit disorder with hyperactivity	D001289	Attention Deficit Disorder with Hyperactivity
lupus erythematosus, systemic	D008180	Lupus Erythematosus, Systemic
prostatic neoplasms	D011471	Prostatic Neoplasms
schizophrenia	D012559	Schizophrenia
hearing loss, sensorineural	D006319	Hearing Loss, Sensorineural
asthma	D001249	Asthma
obesity	D009765	Obesity
ossification, heterotopic	D009999	Ossification, Heterotopic
anemia, sickle cell	D000755	Anemia, Sickle Cell
rhinitis, allergic, perennial	D012221	Rhinitis, Allergic, Perennial
leprosy	D007918	Leprosy
mycobacterium tuberculosis	D009169	Mycobacterium tuberculosis
depressive disorder	D003866	Depressive Disorder
autistic disorder	D001321	Autistic Disorder
celiac disease	D002446	Celiac Disease
obesity, abdominal	D056128	Obesity, Abdominal
affective disorders, psychotic	D000341	Affective Disorders, Psychotic
parkinson disease	D010300	Parkinson Disease
psoriasis	D011565	Psoriasis
liver cirrhosis, biliary	D008105	Liver Cirrhosis, Biliary
thyroiditis, autoimmune	D013967	Thyroiditis, Autoimmune
eosinophilic esophagitis	D057765	Eosinophilic Esophagitis
cleft lip	D002971	Cleft Lip
receptors, adrenergic, alpha-2	D018341	Receptors, Adrenergic, alpha-2
ribonuclease, pancreatic	D012259	Ribonuclease, Pancreatic
low density lipoprotein receptor-related protein-1	D026503	Low Density Lipoprotein Receptor-Related Protein-1
c-reactive protein, pentraxin-related		NA
proline transport protein		NA
nerve tissue proteins	D009419	Nerve Tissue Proteins
complement factor h	D017242	Complement Factor H
receptors, gaba-a	D011963	Receptors, GABA-A
neuregulin-1	D020890	Neuregulin-1
insulysin	D007339	Insulysin
interferon regulatory factor-1	D050856	Interferon Regulatory Factor-1
pro-opiomelanocortin	D011333	Pro-Opiomelanocortin
receptor, serotonin, 5-ht2a	D044402	Receptor, Serotonin, 5-HT2A
sodium channel	D015222	Sodium Channels
proto-oncogene proteins p21(ras)	D016283	Proto-Oncogene Proteins p21(ras)
transforming growth factor beta1	D053773	Transforming Growth Factor beta1
transforming growth factor beta3	D053782	Transforming Growth Factor beta3
tryptophan hydroxylase	D014365	Tryptophan Hydroxylase
atp-binding cassette, sub-family a (abc1), member 2		NA
receptor tyrosine-protein kinase erbb-4	D066247	Receptor, ErbB-4
synapsins	D016704	Synapsins
stat6		NA
receptors, calcitriol	D018167	Receptors, Calcitriol
transcription factor 7-like 2 protein	D058118	Transcription Factor 7-Like 2 Protein
forkhead transcription factors	D051858	Forkhead Transcription Factors
ubiquitin-protein ligases	D044767	Ubiquitin-Protein Ligases
ldl-receptor related proteins	D026502	LDL-Receptor Related Proteins
amyloid beta a4 precursor protein-binding		NA
ox40 ligand	D053278	OX40 Ligand
trpc cation channels	D050052	TRPC Cation Channels
delayed rectifier potassium channels	D051668	Delayed Rectifier Potassium Channels
nuclear proteins	D009687	Nuclear Proteins
glycogen synthase kinase 3	D038362	Glycogen Synthase Kinase 3
ubqln1 protein, human		NA
carrier proteins	D002352	Carrier Proteins
sorbs1 protein, human		NA
fibroblast growth factors	D005346	Fibroblast Growth Factors
ifih1 protein, human or dead-box rna helicases		NA
adaptor proteins, signal transducing	D048868	Adaptor Proteins, Signal Transducing
dystrobrevin binding protein 1 protein, human		NA
interferon regulatory factor-6		NA
interferon regulatory factor-5		NA
molecular chaperones	D018832	Molecular Chaperones
insig2 protein, human		NA
zinc finger dhhc domain-containing protein 8;membrane proteins		NA
dna helicases	D004265	DNA Helicases
slc24a6 protein, human		NA
alpha-macroglobulins	D000511	alpha-Macroglobulins
n-ethylmaleimide-sensitive proteins	D052066	N-Ethylmaleimide-Sensitive Proteins
complement c5	D003182	Complement C5
