ensembl_id	GO G-protein coupled receptor activity	GO kinase activity	GO histamine receptor activity	GO potassium ion transport	GO ATP binding	GO calcium channel activity	GO catalytic activity	GO angiotensin receptor activity	GO peptidase activity	GO G-protein coupled purinergic nucleotide receptor activity	GO nuclear receptor activity	GO adrenergic receptor activity	GO dopamine neurotransmitter receptor activity	GO hydrolase activity, acting on ester bonds	GO transferase activity	GO cholecystokinin receptor activity	GO synaptic transmission, cholinergic	GO transport	GO growth factor activity	GO cytokine activity	GO opioid receptor activity	GO prostanoid receptor activity	GO sodium channel activity	GO isomerase activity	GO G-protein coupled adenosine receptor activity	GO hormone activity	GO leukotriene receptor activity	GO cytokine receptor activity	GO serotonin receptor activity	GO chloride channel activity	GO ion channel activity	GO oxidoreductase activity	GO lipase activity	GO somatostatin receptor activity	GO glucocorticoid receptor activity	GO phosphatase activity	GO endothelin receptor activity	GO estrogen receptor activity	GO bradykinin receptor activity	GO progesterone receptor signaling pathway	GO androgen receptor activity	GO tumor necrosis factor-activated receptor activity	GO carboxy-lyase activity	GO cytokine-mediated signaling pathway	GO vitamin D receptor signaling pathway	GO cannabinoid receptor activity	GO melatonin receptor activity	GO glutamate receptor activity	GO neuropeptide Y receptor activity	GO tumor necrosis factor receptor binding	GO mineralocorticoid receptor activity	GO steroid hormone receptor activity	GO glucagon receptor activity	GO melanocortin receptor activity	GO chemokine receptor activity	GO chemokine activity	GO immunoglobulin receptor activity	GO thyroid hormone receptor activity	GO GABA receptor activity	GO retinoic acid receptor activity	GO nuclease activity	GO hydrolase activity	GO urotensin II receptor activity	GO 9-cis retinoic acid receptor activity	GO phosphorylase activity	GO neuromedin U receptor activity	GO vasoactive intestinal polypeptide receptor activity	GO pituitary adenylate cyclase activating polypeptide activity	Time	RVIS
ENSG00000275568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000275049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000276804	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000276565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000281024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000278695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000278232	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000274672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	NA	NA
ENSG00000281185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
ENSG00000274566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA
