MSH	ensembl_id	lApprovedUS.EU	Phase.Latest	First.Added	NelsonStatus	symbol
Abortion, Spontaneous	ENSG00000119535	FALSE	unknown	NA	Absent	CSF3R
Acidosis	ENSG00000151617	FALSE	Phase I Clinical Trial	2012-10-27	Absent	EDNRA
Acne Vulgaris	ENSG00000012779	FALSE	Phase II Clinical Trial	NA	Unused	ALOX5
Acne Vulgaris	ENSG00000026508	FALSE	Approved	NA	Unused	CD44
Acne Vulgaris	ENSG00000057252	FALSE	unknown	2009-07-01	Unused	SOAT1
Acne Vulgaris	ENSG00000065989	FALSE	Preclinical	2005-05-24	Absent	PDE4A
Acne Vulgaris	ENSG00000067182	FALSE	Approved	NA	Absent	TNFRSF1A
Acne Vulgaris	ENSG00000073756	FALSE	Approved	2000-03-29	Unused	PTGS2
Acne Vulgaris	ENSG00000076555	FALSE	Phase II Clinical Trial	2011-01-18	Absent	ACACB
Acne Vulgaris	ENSG00000077092	TRUE	Approved	1990-06-15	Approved	RARB
Acne Vulgaris	ENSG00000082175	TRUE	Approved	1991-09-15	Approved	PGR
Acne Vulgaris	ENSG00000091831	TRUE	Approved	1996-12-15	Approved	ESR1
Acne Vulgaris	ENSG00000095303	FALSE	Approved	2000-03-29	Unused	PTGS1
Acne Vulgaris	ENSG00000095596	FALSE	Preclinical	2014-12-31	Absent	CYP26A1
Acne Vulgaris	ENSG00000099194	FALSE	Phase II Clinical Trial	2009-07-01	Unused	SCD
Acne Vulgaris	ENSG00000101425	FALSE	Preclinical	2002-01-17	Unused	BPI
Acne Vulgaris	ENSG00000101846	FALSE	Phase I Clinical Trial	2003-11-19	Unused	STS
Acne Vulgaris	ENSG00000105329	FALSE	Approved	NA	Absent	TGFB1
Acne Vulgaris	ENSG00000109163	FALSE	Preclinical	1995-12-15	Unused	GNRHR
Acne Vulgaris	ENSG00000109320	FALSE	Preclinical	2015-10-23	Absent	NFKB1
Acne Vulgaris	ENSG00000111144	FALSE	unknown	2012-01-11	Absent	LTA4H
Acne Vulgaris	ENSG00000111319	TRUE	Approved	NA	Approved	SCNN1A
Acne Vulgaris	ENSG00000111424	TRUE	Approved	1994-08-15	Approved	VDR
Acne Vulgaris	ENSG00000112062	FALSE	Approved	NA	Absent	MAPK14
Acne Vulgaris	ENSG00000112115	FALSE	Phase II Clinical Trial	2013-04-16	Absent	IL17A
Acne Vulgaris	ENSG00000113161	FALSE	Preclinical	2008-02-11	Unused	HMGCR
Acne Vulgaris	ENSG00000113580	FALSE	Phase I Clinical Trial	NA	Unused	NR3C1
Acne Vulgaris	ENSG00000113749	FALSE	Preclinical	2009-09-29	Unused	HRH2
Acne Vulgaris	ENSG00000115008	FALSE	Phase II Clinical Trial	2009-12-07	Phase II Clinical Trial	IL1A
Acne Vulgaris	ENSG00000116478	FALSE	Phase II Clinical Trial	2005-07-11	Unused	HDAC1
Acne Vulgaris	ENSG00000125538	FALSE	Preclinical	2006-01-18	Phase II Clinical Trial	IL1B
Acne Vulgaris	ENSG00000131759	TRUE	Approved	1991-02-15	Approved	RARA
Acne Vulgaris	ENSG00000140009	FALSE	Phase I Clinical Trial	2009-05-18	Unused	ESR2
Acne Vulgaris	ENSG00000142319	FALSE	Preclinical	2009-09-29	Unused	SLC6A3
Acne Vulgaris	ENSG00000145545	FALSE	Preclinical	1993-03-15	Unused	SRD5A1
Acne Vulgaris	ENSG00000151623	TRUE	Approved	NA	Approved	NR3C2
Acne Vulgaris	ENSG00000166825	FALSE	Phase II Clinical Trial	2007-09-25	Unused	ANPEP
Acne Vulgaris	ENSG00000169083	FALSE	Approved	1991-09-15	Unused	AR
Acne Vulgaris	ENSG00000172819	TRUE	Approved	1991-02-15	Approved	RARG
Acne Vulgaris	ENSG00000175445	FALSE	Phase I Clinical Trial	NA	Unused	LPL
Acne Vulgaris	ENSG00000176136	FALSE	Phase II Clinical Trial	2009-06-23	Phase II Clinical Trial	MC5R
Acne Vulgaris	ENSG00000196591	FALSE	Phase II Clinical Trial	2005-07-11	Unused	HDAC2
Acne Vulgaris	ENSG00000196611	FALSE	Preclinical	1995-06-15	Unused	MMP1
Acne Vulgaris	ENSG00000196639	FALSE	Preclinical	2009-09-29	Unused	HRH1
Acne Vulgaris	ENSG00000197635	FALSE	Phase II Clinical Trial	2007-09-25	Unused	DPP4
Acne Vulgaris	ENSG00000228716	TRUE	Approved	1999-03-08	Approved	DHFR
Acne Vulgaris	ENSG00000258839	FALSE	Phase II Clinical Trial	2011-04-01	Phase II Clinical Trial	MC1R
Acne Vulgaris	ENSG00000277893	FALSE	Phase II Clinical Trial	2013-09-27	Absent	SRD5A2
Acne Vulgaris	ENSG00000278540	FALSE	Phase II Clinical Trial	2011-01-18	Absent	ACACA
