MSH	ensembl_id	lApprovedUS.EU	Phase.Latest	First.Added	Inactive	symbol
Abortion, Spontaneous	ENSG00000119535	FALSE	unknown	NA	TRUE	CSF3R
Acidosis	ENSG00000151617	FALSE	Phase I Clinical Trial	2012-10-27	FALSE	EDNRA
Acne Vulgaris	ENSG00000012779	FALSE	Phase II Clinical Trial	NA	TRUE	ALOX5
Acne Vulgaris	ENSG00000026508	FALSE	Approved	NA	FALSE	CD44
Acne Vulgaris	ENSG00000057252	FALSE	unknown	2009-07-01	TRUE	SOAT1
Acne Vulgaris	ENSG00000065989	FALSE	Preclinical	2005-05-24	FALSE	PDE4A
Acne Vulgaris	ENSG00000067182	FALSE	Approved	NA	FALSE	TNFRSF1A
Acne Vulgaris	ENSG00000073756	FALSE	Approved	2000-03-29	TRUE	PTGS2
Acne Vulgaris	ENSG00000076555	FALSE	Phase II Clinical Trial	2011-01-18	TRUE	ACACB
Acne Vulgaris	ENSG00000077092	TRUE	Approved	1990-06-15	TRUE	RARB
Acne Vulgaris	ENSG00000082175	TRUE	Approved	1991-09-15	TRUE	PGR
Acne Vulgaris	ENSG00000091831	TRUE	Approved	1996-12-15	TRUE	ESR1
Acne Vulgaris	ENSG00000095303	FALSE	Approved	2000-03-29	TRUE	PTGS1
Acne Vulgaris	ENSG00000095596	FALSE	Preclinical	2014-12-31	FALSE	CYP26A1
Acne Vulgaris	ENSG00000099194	FALSE	Phase II Clinical Trial	2009-07-01	TRUE	SCD
Acne Vulgaris	ENSG00000101425	FALSE	Preclinical	2002-01-17	TRUE	BPI
Acne Vulgaris	ENSG00000101846	FALSE	Phase I Clinical Trial	2003-11-19	TRUE	STS
Acne Vulgaris	ENSG00000105329	FALSE	Approved	NA	FALSE	TGFB1
Acne Vulgaris	ENSG00000109163	FALSE	Preclinical	1995-12-15	TRUE	GNRHR
Acne Vulgaris	ENSG00000109320	FALSE	Preclinical	2015-10-23	FALSE	NFKB1
Acne Vulgaris	ENSG00000111144	FALSE	unknown	2012-01-11	TRUE	LTA4H
Acne Vulgaris	ENSG00000111319	TRUE	Approved	NA	FALSE	SCNN1A
Acne Vulgaris	ENSG00000111424	TRUE	Approved	1994-08-15	TRUE	VDR
Acne Vulgaris	ENSG00000112062	FALSE	Approved	NA	FALSE	MAPK14
Acne Vulgaris	ENSG00000112115	FALSE	Phase II Clinical Trial	2013-04-16	FALSE	IL17A
Acne Vulgaris	ENSG00000113161	FALSE	Preclinical	2008-02-11	TRUE	HMGCR
Acne Vulgaris	ENSG00000113580	FALSE	Phase I Clinical Trial	NA	TRUE	NR3C1
Acne Vulgaris	ENSG00000113749	FALSE	Preclinical	2009-09-29	TRUE	HRH2
Acne Vulgaris	ENSG00000115008	FALSE	Phase II Clinical Trial	2009-12-07	FALSE	IL1A
Acne Vulgaris	ENSG00000116478	FALSE	Phase II Clinical Trial	2005-07-11	TRUE	HDAC1
Acne Vulgaris	ENSG00000125538	FALSE	Preclinical	2006-01-18	TRUE	IL1B
Acne Vulgaris	ENSG00000131759	TRUE	Approved	1991-02-15	TRUE	RARA
Acne Vulgaris	ENSG00000140009	FALSE	Phase I Clinical Trial	2009-05-18	TRUE	ESR2
Acne Vulgaris	ENSG00000142319	FALSE	Preclinical	2009-09-29	TRUE	SLC6A3
Acne Vulgaris	ENSG00000145545	FALSE	Preclinical	1993-03-15	TRUE	SRD5A1
Acne Vulgaris	ENSG00000151623	TRUE	Approved	NA	FALSE	NR3C2
Acne Vulgaris	ENSG00000166825	FALSE	Phase II Clinical Trial	2007-09-25	TRUE	ANPEP
Acne Vulgaris	ENSG00000169083	FALSE	Approved	1991-09-15	TRUE	AR
Acne Vulgaris	ENSG00000172819	TRUE	Approved	1991-02-15	TRUE	RARG
Acne Vulgaris	ENSG00000175445	FALSE	Phase I Clinical Trial	NA	TRUE	LPL
Acne Vulgaris	ENSG00000176136	FALSE	Phase II Clinical Trial	2009-06-23	TRUE	MC5R
Acne Vulgaris	ENSG00000196591	FALSE	Phase II Clinical Trial	2005-07-11	TRUE	HDAC2
Acne Vulgaris	ENSG00000196611	FALSE	Preclinical	1995-06-15	TRUE	MMP1
Acne Vulgaris	ENSG00000196639	FALSE	Preclinical	2009-09-29	TRUE	HRH1
Acne Vulgaris	ENSG00000197635	FALSE	Phase II Clinical Trial	2007-09-25	TRUE	DPP4
Acne Vulgaris	ENSG00000228716	TRUE	Approved	1999-03-08	TRUE	DHFR
Acne Vulgaris	ENSG00000258839	FALSE	Phase II Clinical Trial	2011-04-01	TRUE	MC1R
Acne Vulgaris	ENSG00000277893	FALSE	Phase II Clinical Trial	2013-09-27	FALSE	SRD5A2
Acne Vulgaris	ENSG00000278540	FALSE	Phase II Clinical Trial	2011-01-18	TRUE	ACACA
Acromegaly	ENSG00000017427	FALSE	Phase II Clinical Trial	2004-08-17	FALSE	IGF1
Acromegaly	ENSG00000106128	FALSE	Phase I Clinical Trial	2015-07-27	FALSE	GHRHR
Acromegaly	ENSG00000112964	TRUE	Approved	1993-06-15	FALSE	GHR
Acromegaly	ENSG00000121853	FALSE	Preclinical	2003-07-07	TRUE	GHSR
Acromegaly	ENSG00000132671	FALSE	Phase II Clinical Trial	1998-09-15	FALSE	SSTR4
Acromegaly	ENSG00000135914	TRUE	Approved	NA	FALSE	HTR2B
Acromegaly	ENSG00000139874	TRUE	Approved	2002-11-27	FALSE	SSTR1
Acromegaly	ENSG00000140443	FALSE	unknown	NA	TRUE	IGF1R
Acromegaly	ENSG00000149295	TRUE	Approved	2016-01-28	TRUE	DRD2
Acromegaly	ENSG00000162009	TRUE	Approved	1998-09-15	FALSE	SSTR5
Acromegaly	ENSG00000180616	TRUE	Approved	1998-08-15	TRUE	SSTR2
Acromegaly	ENSG00000278195	TRUE	Approved	2002-11-27	FALSE	SSTR3
Acute Chest Syndrome	ENSG00000069764	FALSE	unknown	1998-04-15	TRUE	PLA2G10
Acute Chest Syndrome	ENSG00000146070	FALSE	unknown	1998-04-15	TRUE	PLA2G7
Acute Chest Syndrome	ENSG00000184381	FALSE	unknown	1998-04-15	TRUE	PLA2G6
