Disease	Link	Source	MSHOld	MSH.Top	Gene	GeneScore	Rank	pval2	snp_id	pvalue	SNP.Trait.Cnt	snp.ld	r2	eqtl	rdb	Cat.rdb	eCat	AAEffect	AAScore	Gene.Trait.Cnt	OrphID	PPterm	Name	MSH	ensembl_id
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	ABCA2	6	1	1e-08	rs908832	0	1	rs908832	1	no	no		0	missense_variant	0.540884817010436	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000107331
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	ANAPC2	1	2	1e-08	rs908832	0	1	rs9411294	0.854	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000176248
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	ARVCF	2	3	1e-08	rs165599	0	1	rs165599	1	no	no		9		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000099889
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	C8G	0	6	1e-08	rs908832	0	1	rs7865849	0.61	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000176919
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	C9orf139	1	3	1e-08	rs908832	0	1	rs9411294	0.854	no	no	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000180539
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	C9orf141	2	5	1e-08	rs908832	0	1	rs7858965	0.536	no	yes	2b	2b		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000198454
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	C9orf142	0	7	1e-08	rs908832	0	1	rs7865849	0.61	no	no	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000148362
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	CLIC3	0	8	1e-08	rs908832	0	1	rs7865849	0.61	no	yes	4	4		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000169583
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	COMT	6	1	1e-08	rs4680	0	1	rs4680	1	no	no		0	missense_variant	0.389152907745823	6	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000093010
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	DGCR6L	2	6	1e-08	rs165599	0	1	rs12329964	0.504	no	yes	2b	2b		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000128185
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	DGCR8	2	7	1e-08	rs165599	0	1	rs12329964	0.504	no	yes	2b	2b		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000128191
#104300 ALZHEIMER DISEASE; AD	OMIM:104300	Omim	alzheimer disease	Nervous System Diseases	GGTLC3	4	1	1e-08	rs165599	0	1	rs9265	0.93	no	yes	2b	2b		1	2	NA	alzheimer disease	Alzheimer Disease	Alzheimer Disease	ENSG00000274252
